age,gender,haoxin_yijiantong,mobile_network_registered,mobile_realname_verification,fraud_risk,identity_feature_score,contract_ability_score,default_risk_score,consumer_preference_score,behavior_feature_score,social_influence_score,growth_potential_score,institution_industry,hit_institutions_count,hit_banks_count,hit_consumer_finance_count,hit_microloan_count,institution_query_total,institution_query_3m,institution_query_6m,haoxin_risk_score,haoxin_litigation_score,overall_score
30.0,0,0,0,0,0.0,92.0,91.0,71.0,89.0,86.0,49.0,88.0,1.0,7.0,0.0,1.0,4.0,9.0,1.0,2.0,0.0,0.0,540.0
30.0,0,0,1,0,0.0,90.0,88.0,43.0,87.0,86.0,49.0,85.0,2.0,36.0,2.0,3.0,24.0,84.0,0.0,8.0,0.0,0.0,390.0
32.0,0,0,0,0,0.0,91.0,83.0,44.0,80.0,86.0,49.0,88.0,0.0,34.0,0.0,3.0,23.0,64.0,1.0,1.0,0.0,1.0,411.0
22.0,1,0,0,0,0.0,87.0,90.0,70.0,89.0,88.0,49.0,85.0,1.0,6.0,1.0,1.0,2.0,10.0,1.0,5.0,0.0,0.0,523.0
20.0,0,0,0,0,0.0,63.0,89.0,44.0,95.0,87.0,57.0,85.0,1.0,19.0,1.0,2.0,13.0,38.0,4.0,7.0,0.0,0.0,409.0
27.0,0,0,0,0,0.0,91.0,87.0,78.0,94.0,87.0,59.0,88.0,1.0,11.0,0.0,1.0,9.0,16.0,0.0,2.0,85.0,0.0,495.0
31.0,0,1,0,1,0.0,86.0,79.0,74.0,80.0,87.0,49.0,88.0,2.0,35.0,1.0,2.0,23.0,108.0,10.0,29.0,0.0,0.0,464.0
34.0,0,0,0,0,0.0,91.0,61.0,66.0,87.0,86.0,49.0,85.0,1.0,7.0,0.0,0.0,5.0,12.0,1.0,1.0,0.0,0.0,498.0
31.0,0,1,0,1,0.0,90.0,67.0,51.0,92.0,86.0,57.0,85.0,0.0,17.0,0.0,1.0,12.0,24.0,8.0,11.0,0.0,0.0,404.0
29.0,0,0,0,0,0.0,96.0,74.0,89.0,94.0,71.0,49.0,88.0,3.0,5.0,1.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,639.0
32.0,0,0,0,0,0.0,86.0,64.0,66.0,86.0,86.0,49.0,85.0,1.0,20.0,0.0,3.0,11.0,31.0,0.0,1.0,0.0,0.0,457.0
35.0,1,1,1,1,0.0,92.0,96.0,55.0,94.0,90.0,49.0,88.0,2.0,8.0,0.0,0.0,6.0,9.0,1.0,1.0,0.0,7.0,500.0
39.0,0,0,0,0,0.0,90.0,70.0,61.0,82.0,86.0,49.0,85.0,1.0,35.0,2.0,0.0,28.0,88.0,0.0,0.0,30.0,0.0,465.0
31.0,1,0,0,0,0.0,90.0,87.0,33.0,96.0,89.0,49.0,85.0,0.0,13.0,0.0,0.0,11.0,28.0,6.0,9.0,0.0,0.0,510.0
30.0,0,0,0,0,0.0,94.0,67.0,74.0,94.0,87.0,49.0,85.0,1.0,11.0,1.0,2.0,7.0,19.0,4.0,4.0,0.0,0.0,512.0
37.0,0,0,0,0,0.0,91.0,91.0,40.0,89.0,88.0,49.0,85.0,1.0,34.0,1.0,6.0,22.0,91.0,18.0,30.0,14.0,0.0,375.0
28.0,0,0,0,0,0.0,84.0,79.0,86.0,87.0,87.0,49.0,85.0,1.0,30.0,3.0,4.0,17.0,69.0,5.0,23.0,0.0,0.0,515.0
27.0,0,0,1,0,0.0,76.0,55.0,59.0,87.0,86.0,57.0,88.0,6.0,25.0,0.0,3.0,13.0,40.0,0.0,0.0,0.0,3.0,375.0
29.0,0,0,0,0,0.0,90.0,72.0,41.0,92.0,92.0,49.0,88.0,1.0,8.0,0.0,0.0,4.0,11.0,0.0,2.0,0.0,0.0,445.0
34.0,0,0,0,0,0.0,90.0,84.0,72.0,83.0,87.0,49.0,85.0,3.0,6.0,1.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,525.0
34.0,0,0,0,0,0.0,89.0,57.0,56.0,60.0,86.0,48.0,85.0,1.0,8.0,0.0,2.0,4.0,27.0,3.0,7.0,0.0,0.0,358.0
46.0,0,1,0,1,0.0,98.0,85.0,94.0,97.0,78.0,49.0,85.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,632.0
23.0,1,0,1,0,0.0,83.0,78.0,28.0,89.0,86.0,49.0,85.0,2.0,25.0,2.0,4.0,17.0,47.0,7.0,13.0,0.0,0.0,438.0
38.0,0,0,1,0,0.0,90.0,96.0,89.0,95.0,81.0,49.0,85.0,0.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,637.0
48.0,1,0,0,0,0.0,67.0,45.0,82.0,88.0,86.0,49.0,85.0,6.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,554.0
30.0,0,0,0,0,1.0,93.0,71.0,55.0,78.0,87.0,61.0,88.0,2.0,16.0,1.0,3.0,9.0,36.0,9.0,13.0,0.0,0.0,358.0
33.0,0,0,0,0,0.0,95.0,80.0,70.0,97.0,87.0,49.0,85.0,1.0,35.0,1.0,4.0,25.0,79.0,2.0,10.0,10.0,0.0,509.0
29.0,1,0,1,0,0.0,77.0,94.0,60.0,83.0,87.0,49.0,88.0,1.0,22.0,0.0,2.0,15.0,32.0,0.0,0.0,0.0,0.0,487.0
31.0,0,0,0,0,0.0,88.0,60.0,75.0,21.0,95.0,49.0,85.0,2.0,2.0,0.0,0.0,2.0,3.0,2.0,2.0,0.0,0.0,453.0
23.0,0,0,0,0,0.0,92.0,93.0,64.0,94.0,86.0,49.0,88.0,2.0,20.0,0.0,1.0,13.0,40.0,2.0,2.0,0.0,0.0,549.0
31.0,0,0,0,0,0.0,95.0,95.0,65.0,94.0,87.0,49.0,88.0,2.0,7.0,0.0,1.0,5.0,9.0,0.0,3.0,0.0,0.0,506.0
32.0,0,1,1,1,0.0,86.0,63.0,65.0,92.0,86.0,49.0,85.0,1.0,16.0,1.0,0.0,12.0,30.0,0.0,0.0,183.0,0.0,463.0
36.0,0,0,0,0,0.0,96.0,59.0,41.0,90.0,89.0,49.0,85.0,2.0,8.0,0.0,0.0,8.0,11.0,1.0,5.0,30.0,0.0,471.0
27.0,0,0,0,0,0.0,96.0,82.0,60.0,96.0,81.0,49.0,85.0,2.0,7.0,0.0,1.0,5.0,8.0,0.0,1.0,0.0,0.0,429.0
26.0,1,0,0,0,0.0,93.0,19.0,20.0,95.0,96.0,49.0,85.0,3.0,33.0,1.0,4.0,19.0,66.0,4.0,11.0,25.0,0.0,358.0
41.0,0,0,1,0,0.0,93.0,72.0,43.0,95.0,90.0,48.0,92.0,2.0,34.0,0.0,4.0,23.0,85.0,0.0,0.0,0.0,0.0,449.0
34.0,0,0,0,0,0.0,78.0,69.0,62.0,95.0,88.0,53.0,85.0,1.0,14.0,1.0,0.0,11.0,20.0,2.0,3.0,0.0,0.0,460.0
30.0,0,0,0,0,0.0,91.0,77.0,75.0,90.0,47.0,49.0,88.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,553.0
26.0,0,0,0,0,0.0,86.0,60.0,54.0,84.0,86.0,49.0,85.0,4.0,15.0,0.0,2.0,7.0,20.0,0.0,0.0,0.0,0.0,445.0
